Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2024-100001,2024-01-05,2024-01-10,Standard Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.91
2,CA-2024-100001,2024-01-05,2024-01-10,Standard Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,731.94,3,0.0,219.58
3,CA-2024-100002,2024-01-09,2024-01-14,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters,14.62,2,0.0,6.87
4,CA-2024-100003,2024-01-13,2024-01-18,Standard Class,SC-20585,Sean Collins,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03
5,CA-2024-100003,2024-01-13,2024-01-18,Standard Class,SC-20585,Sean Collins,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold N Roll Cart System,22.37,2,0.2,2.52
6,CA-2024-100004,2024-01-20,2024-01-22,Same Day,BH-11710,Brosina Hoffman,Consumer,United States,New York City,New York,10024,East,TEC-PH-10002033,Technology,Phones,Samsung Galaxy S24,907.15,3,0.0,272.15
7,CA-2024-100005,2024-02-01,2024-02-06,Standard Class,AG-10270,Andrew Gonzalez,Consumer,United States,Seattle,Washington,98103,West,TEC-AC-10003027,Technology,Accessories,Logitech MX Master 3S Mouse,90.57,3,0.0,31.70
8,CA-2024-100005,2024-02-01,2024-02-06,Standard Class,AG-10270,Andrew Gonzalez,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003527,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,1637.53,5,0.2,449.09
9,CA-2024-100006,2024-02-10,2024-02-15,Second Class,DP-13060,Dave Poston,Home Office,United States,San Francisco,California,94122,West,FUR-FU-10001487,Furniture,Furnishings,Eldon Expressions Punched Metal & Wood Desk Accessories,48.86,7,0.0,14.17
10,CA-2024-100007,2024-02-14,2024-02-18,First Class,KB-16315,Karen Brown,Corporate,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,65.10,5,0.0,30.94
11,CA-2024-100008,2024-02-20,2024-02-25,Standard Class,PO-18865,Pete O'Brien,Consumer,United States,Houston,Texas,77095,Central,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS MF445dw,2999.95,1,0.0,1049.98
12,CA-2024-100009,2024-03-01,2024-03-05,Standard Class,MC-17845,Maria Carter,Corporate,United States,Chicago,Illinois,60610,Central,OFF-BI-10000756,Office Supplies,Binders,Wilson Jones Active Use Binders,8.56,2,0.4,0.77
13,CA-2024-100010,2024-03-05,2024-03-10,Second Class,HM-14980,Helen Martinez,Consumer,United States,Dallas,Texas,75201,Central,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,0.3,-682.47
14,CA-2024-100011,2024-03-12,2024-03-14,Same Day,RS-19765,Rachel Smith,Home Office,United States,Jacksonville,Florida,32216,South,TEC-PH-10004977,Technology,Phones,Apple iPhone 15 Pro,1199.99,1,0.0,359.99
15,CA-2024-100012,2024-03-20,2024-03-25,Standard Class,TB-21175,Tom Brown,Consumer,United States,Columbus,Ohio,43229,East,OFF-SU-10000246,Office Supplies,Supplies,Fiskars Scissors,9.95,3,0.0,4.48
16,CA-2024-100013,2024-04-02,2024-04-07,Standard Class,JD-15340,John Davis,Corporate,United States,San Jose,California,95123,West,TEC-MA-10002412,Technology,Machines,Brother Laser Printer HL-L2350DW,299.97,3,0.1,44.99
17,CA-2024-100014,2024-04-10,2024-04-14,First Class,LW-16735,Lisa Wilson,Consumer,United States,Atlanta,Georgia,30301,South,FUR-CH-10002774,Furniture,Chairs,HON 5400 Series Task Chairs,1471.50,6,0.2,132.44
18,CA-2024-100015,2024-04-15,2024-04-20,Standard Class,SW-20140,Steve White,Home Office,United States,Denver,Colorado,80202,West,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,15.26,3,0.0,7.33
19,CA-2024-100016,2024-05-01,2024-05-06,Standard Class,MJ-17920,Mike Johnson,Consumer,United States,Portland,Oregon,97201,West,TEC-AC-10004085,Technology,Accessories,Belkin F5C206 6-Outlet Surge Protector,65.98,2,0.0,16.49
20,CA-2024-100017,2024-05-10,2024-05-14,Second Class,EG-14075,Emily Garcia,Corporate,United States,Boston,Massachusetts,02101,East,FUR-FU-10004848,Furniture,Furnishings,Deflect-O Glass Clear Desk Tent,11.65,5,0.3,1.16
21,CA-2024-100018,2024-05-15,2024-05-20,Standard Class,RM-19345,Robert Miller,Consumer,United States,Phoenix,Arizona,85001,West,OFF-AP-10002892,Office Supplies,Appliances,Hoover Upright Vacuum,299.95,1,0.15,29.99
22,CA-2024-100019,2024-06-01,2024-06-04,First Class,AW-10375,Anna Wang,Home Office,United States,San Diego,California,92101,West,TEC-CO-10001198,Technology,Copiers,HP Color LaserJet Pro MFP M283fdw,4399.98,2,0.1,1539.99
23,CA-2024-100020,2024-06-10,2024-06-15,Standard Class,DL-13600,David Lee,Consumer,United States,Charlotte,North Carolina,28202,South,FUR-TA-10004930,Furniture,Tables,KI Adjustable-Height Table,1044.63,3,0.35,-418.05
24,CA-2024-100021,2024-06-20,2024-06-24,Second Class,SH-20035,Susan Harris,Corporate,United States,Minneapolis,Minnesota,55401,Central,OFF-PA-10001585,Office Supplies,Paper,Hammermill Premium Multipurpose Paper,39.54,6,0.0,18.80
25,CA-2024-100022,2024-07-01,2024-07-05,Standard Class,JT-15890,Jane Taylor,Consumer,United States,Detroit,Michigan,48201,Central,TEC-PH-10001949,Technology,Phones,Google Pixel 8,599.99,1,0.15,89.99
26,CA-2024-100023,2024-07-15,2024-07-18,Same Day,BM-11650,Brian Moore,Corporate,United States,Miami,Florida,33101,South,OFF-BI-10004995,Office Supplies,Binders,Avery Binding System Hidden Tab Dividers,7.30,5,0.5,-3.65
27,CA-2024-100024,2024-08-01,2024-08-06,Standard Class,KN-16540,Karen Nguyen,Home Office,United States,Nashville,Tennessee,37201,South,FUR-CH-10003746,Furniture,Chairs,Global Deluxe Stacking Chair,356.78,2,0.0,107.03
28,CA-2024-100025,2024-08-10,2024-08-14,First Class,PJ-18325,Paul Jackson,Consumer,United States,Austin,Texas,78701,Central,TEC-AC-10000171,Technology,Accessories,Plantronics Savi W720 Headset,349.95,1,0.0,87.49
29,CA-2024-100026,2024-09-01,2024-09-06,Standard Class,LD-13390,Laura Davis,Corporate,United States,Baltimore,Maryland,21201,East,OFF-ST-10003656,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer,57.48,4,0.2,8.05
30,CA-2024-100027,2024-09-15,2024-09-18,Same Day,CT-12025,Chris Thompson,Consumer,United States,Las Vegas,Nevada,89101,West,TEC-MA-10004507,Technology,Machines,Epson EcoTank ET-2800,249.99,1,0.1,37.50
